20	20700	23666	26633	29566	31933	34300	36666	39033
25	25875	29583	33291	36958	39916	42875	45833	48791
30	31050	35500	39950	44350	47900	51450	55000	58550
35	36260	41440	46620	51765	55930	60060	64190	68355
40	41440	47360	53280	59160	63920	68640	73360	78120
45	46620	53280	59940	66555	71910	77220	82530	87885
50	51800	59200	66600	73950	79900	85800	91700	97650
55	54003	61703	69403	77103	83290	89443	95631	101784
60	58912	67312	75712	84112	90863	97575	104325	111038
80	78550	89750	100950	112150	121150	130100	139100	148050
100	103550	118300	133100	147900	159750	171550	183400	195250
120	124250	142000	159750	177500	191700	205900	220100	234300
