20%	12,860	14,700	16,540	18,360	19,840	21,300	22,780	24,240
25%	16,075	18,375	20,675	22,950	24,800	26,625	28,475	30,300
30%	19,290	22,050	24,810	27,540	29,760	31,950	34,170	36,360
35%	22,505	25,725	28,945	32,130	34,720	37,275	39,865	42,420
40%	25,720	29,400	33,080	36,720	39,680	42,600	45,560	48,480
45%	28,935	33,075	37,215	41,310	44,640	47,925	51,255	54,540
50%	32,150	36,750	41,350	45,900	49,600	53,250	56,950	60,600
55%	35,365	40,425	45,485	50,490	54,560	58,575	62,645	66,660
60%	38,580	44,100	49,620	55,080	59,520	63,900	68,340	72,720
70%	45,010	51,450	57,890	64,260	69,440	74,550	79,730	84,840
80%	51,440	58,800	66,160	73,440	79,360	85,200	91,120	96,960
100%	64,300	73,500	82,700	91,800	99,200	106,500	113,900	121,200
120%	77,160	88,200	99,240	110,160	119,040	127,800	136,680	145,440
125%	80,375	91,875	103,375	114,750	124,000	133,125	142,375	151,500
140%	90,020	102,900	115,780	128,520	138,880	149,100	159,460	169,680
150%	96,450	110,250	124,050	137,700	148,800	159,750	170,850	181,800
